ID,Framework,LotDescription,SupplierName,CustomerName,ReturnMonth,ProjectNameAndDescription,EvidencedSpend,Sector,SMEorLarge
1,G-Cloud,3,SYMANTEC LTD,Public Health England,2012-04-01,Symantec MessageLabs Email Anti Virus Anti Spam Image and Content Control.cloud Service,43200,Central Government,Large
2,G-Cloud,3,SYMANTEC LTD,Oxfordshire County Council,2012-04-01,Symantec MessageLabs Web v2 Protect Url control.cloud,33939.36,Local Government,Large
3,G-Cloud,3,SQUIZ UK LTD,HM Land Registry,2012-04-01,12 Months Squiz Private Cloud Hosting,20000,Central Government,Large
4,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Department For Communities And Local Government,2012-04-01,20 Huddle User Licences,1899,Central Government,SME
5,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Department for Environment Food And Rural Affairs,2012-04-01,2200 Huddle User Licences,70200,Central Government,SME
6,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Health and Safety Executive,2012-04-01,30 Huddle User Licences,4680,Central Government,SME
7,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Ministry of Justice,2012-04-01,3000 Huddle User Licences,251000,Central Government,SME
8,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Department For Business Innovation And Skills,2012-04-01,50 Huddle IL3 User Licences,8250,Central Government,SME
9,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Cabinet Office,2012-04-01,50 Huddle User Licences,7800,Central Government,SME
10,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Department For Business Innovation And Skills,2012-04-01,600 Huddle User Licences,58296,Central Government,SME
11,G-Cloud,3,GOVDELIVERY INC,Department for Work And Pensions,2012-04-01,Digital Communication Management Platform,7982,Central Government,SME
12,G-Cloud,3,AMEE LTD,Crown Commercial Service,2012-04-01,G Cloud / RM1557 G-Cloud Services / Framework Agreement,25005,Central Government,SME
