Framework,Lot,Supplier,Customer,For_Month,Product_Service_Description,Total_Charge
G-Cloudi,3,@UK PLC,Royal Berkshire NHS Foundation Trust,2012-10-01l,Service Analytics,16000
G-Cloud III,3,247Time Limited,Heart of England NHS Foundation Trust,2013-08-01l,Employment Services,117.67
G-Cloud III,3,247Time Limited,Heart of England NHS Foundation Trust,2013-09-01l,Employment Services,987.74
G-Cloud III,4,4C Strategies Ltd,Hampshire Fire and Rescue Service,2013-07-01l,G Cloud Consultancy,1998.5
G-Cloud III,4,4C Strategies Ltd,National Archives The,2013-08-01l,4C Strategies Ltd,11250
G-Cloudi,4,4C Strategies Ltd,Hampshire Fire and Rescue Service,2012-05-01l,G Cloud Consultancy,999.25
G-Cloudi,4,4C Strategies Ltd,Hampshire Fire and Rescue Service,2012-07-01l,G Cloud Consultancy,999.25
G-Cloudi,4,4C Strategies Ltd,Hampshire Fire and Rescue Service,2012-10-01l,G Cloud Consultancy,999.25
G-Cloudi,4,4C Strategies Ltd,Hampshire Fire and Rescue Service,2013-01-01l,G Cloud Consultancy,999.25
G-Cloud III,4,4C Strategies Ltd,University of Stirling,2013-09-01l,Wireless Procurement,6240
G-Cloud Services II,1,5NINES DATA CENTRES LTD,University of the Arts London,2013-04-01l,Proof of Concept,34000
G-Cloudi,4,5NINES DATA CENTRES LTD,University of the Arts London,2012-08-01l,Co-Location,10500
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-06-01l,Portfolio Planning,20525
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-06-01l,IaaS procurement,12275
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-07-01l,PM of Development & Imp of Evolve Project,7500
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-07-01l,PM of Development & Imp of Evolve Project,7500
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-07-01l,RM Tower Procurement Support,28900
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-06-01l,Architecture knowledge capture,482.25
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-06-01l,PM of Development  Imp of Evolve Project,11250
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-06-01l,TA Evolve Replacement Project,18950
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-06-01l,IDAM,32580
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-06-01l,Enterprise Architecture activities (NCSL),18900
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-06-01l,CJSE / CJSM Support Services,16362.5
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-06-01l,NOMS Transforming Rehabilitation Programme (TRP),56950
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-04-01l,Transition planning,3250
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-04-01l,CIOG Portfolio management,4625
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-04-01l,IDAM,8145
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-04-01l,SIAM improvement,8568.75
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-04-01l,IaaS procurement,11900
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-04-01l,AIMS procurement,11900
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-04-01l,Service tower model optimisation,12156.25
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-04-01l,Architecture knowledge capture,23630.25
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-08-01l,CJSE / CJSM Support Services G Cloud 2,50887.5
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-08-01l,NOMS Transforming Rehabilitation Programme (TRP),102650
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-08-01l,SIAM Requirement - Architecture Design Authority,16825
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-08-01l,Expenses incurred in relation to the delivery of various work packages - SIAM Requirement,3429.18
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-09-01l,PM of Development  Imp of Evolve Project,750
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-09-01l,Strategic Plan Ref ST2a (Phase 1 Stages 12),14500
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-09-01l,Data Exchange Strategy,43012.5
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-09-01l,NOMS Technical Delivery Assurance,15583
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-09-01l,NOMS Technical Delivery Assurance,30600
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-09-01l,HQ  ALB Technical  Delivery Assurance,26350
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-09-01l,HMCTS /CPS Common Platform Programme,63750
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Design Services,33800
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Design Services,59627.6
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Design Services,49120
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Design Services,51250
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Design Services,94047.5
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Service Integration,83212.95
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Service Integration,196711
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Service Integration,169636.86
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Design Services,2957.5
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Design Services,9767.5
G-Cloud Services II,4,Acuma Solutions Limited,Home Office,2013-09-01l,Testing  Live Support,64636
G-Cloud Services II,4,Adrenalan Solutions Ltd,Ministry of Justice,2013-05-01l,Adrenalan Subject Matter Expert (L5),1960
G-Cloud Services II,4,Adrenalan Solutions Ltd,Ministry of Justice,2013-07-01l,Adrenalan Subject Matter Expert (L5),5390
G-Cloud Services II,4,Adrenalan Solutions Ltd,Ministry of Justice,2013-03-01l,Adrenalan Subject Matter Expert (L5),21070
G-Cloud Services II,4,Adrenalan Solutions Ltd,Ministry of Justice,2013-08-01l,Adrenalan Subject Matter Expert (L5),1960
G-Cloud Services II,4,Adrenalan Solutions Ltd,Ministry of Justice,2013-09-01l,Adrenalan Subject Matter Expert (L5),980
G-Cloud III,3,ADVANCED BUSINESS SOFTWARE & SOLUTIONS LTD,East London NHS Foundation Trust,2013-07-01l,iNurse Implemention,3440
G-Cloud Services II,3,Affinitext (UK) Limited,Defence Infrastructure Organisation DIO,2013-04-01l,PFI Deal Books /Project Bibles in Intelligent Document Format,80000
G-Cloud Services II,3,Affinitext (UK) Limited,St Helens and Knowsley NHS Trust,2013-01-01l,PFI Deal Books /Project Bibles in Intelligent Document Format,5700
G-Cloud III,4,Advent IM,UK Trade and Investment,2013-09-01l,ITHC,2040
G-Cloud III,4,Affinity Digital (Tech) Ltd,Government Digital Service,2013-08-01l,Design/Development/Project management & administration) for Cloudstore Ð Sprint 1,11850
G-Cloud III,4,Affinity Digital (Tech) Ltd,Government Digital Service,2013-08-01l,Initial system review and dev environment set-up (Health Check),1975
G-Cloud III,3,Affinitext (UK) Limited,Defence Equipment and Support DEandS,2013-09-01l,PFI Deal Books /Project Bibles in Intelligent Document Format,28500
G-Cloud III,4,Agilisys Ltd,Thurrock Borough Council,2013-07-01l,Digital Platform,255798
