1,CMU tendering on behalf of the NHS,Branded North West Proprietary Pharmaceuticals (03-2015),Clinical and medical life sciences,CM/PHR/11/5305,High,0.00000,0.00000,150000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000,North West,UKD,,NONE,01 Jun 14 00:00,Open,01 Sep 14 00:00,16 May 13 17:31,16 May 13 17:31,Roger.Purcell@cmu.nhs.uk,2,Government Digital Services,0,3360000,949273,465623,465623,,,,,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=949273
2,Penninsula Purchasing & Supply Alliance,Pacemakers & ICD&#39;s,Clinical and medical life sciences,0026,Medium,0.00000,10703889.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,South West,UKK,,,02 Nov 14 00:00,Open,01 May 14 00:00,16 May 13 18:15,16 May 13 18:15,,2,Government Digital Services,0,33184300|33182240|33182210|33182200|3318200,949299,735895,690853,,,,,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=949299
3,Various NHS Trusts,MRI Scanners,Clinical and medical life sciences,2010/S236-360362,High,0.00000,18000000.00000,18000000.00000,18000000.00000,18000000.00000,18000000.00000,0.00000,108000000.00000,United Kingdom,UK,,,,Framework,04 Dec 13 00:00,16 May 13 18:18,16 May 13 18:18,,2,Government Digital Services,0,33113100|33113000|3311161,949301,503053,465661,,,,,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=949301
4,Penninsula Purchasing & Supply Alliance,Anthroscopy,Clinical and medical life sciences,0205,Medium,0.00000,2101364.00000,2101364.00000,0.00000,0.00000,0.00000,0.00000,0.00000,South West,UKK,,,01 Nov 14 00:00,Open,01 May 14 00:00,16 May 13 18:06,16 May 13 18:06,,2,Government Digital Services,0,33141700|3314000,949291,735894,690872,,,,,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=949291
5,East Lancashire Hospitals NHS Trust Procurement Department,Pacemakers,Clinical and medical life sciences,8227,Medium,0.00000,200000.00000,200000.00000,0.00000,0.00000,0.00000,0.00000,0.00000,North West,UKD,,,01 Jan 14 00:00,Framework,31 Dec 13 00:00,27 Sep 13 12:29,27 Sep 13 12:29,,2,Government Digital Services,0,33182300|3318221,1117290,949272,690833,,,,,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1117290
6,Department of Health,Branded Central Cytokine Modulators,Clinical and medical life sciences,CM/PHR/13/5399,High,0.00000,73000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000,73000000.00000,England,,,Central region,01 Jul 13 00:00,Framework,31 Dec 13 00:00,17 May 13 10:39,17 May 13 10:39,roger.purcell@cmu.nhs.uk,60,Department of Health,0,3360000,949326,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=949326
7,CMU tendering on behalf of the NHS,   National Generic Transition Products 2015_3,Clinical and medical life sciences,CM/PHG/12/5339,Medium,0.00000,0.00000,0.00000,36446929.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,NONE,01 Jan 16 00:00,Framework,31 Dec 15 00:00,16 Jul 13 10:26,16 Jul 13 10:26,Ian.Allen@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1024516,973358,465618,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1024516
8,CMU tendering on behalf of the NHS,   National Generic Transition Products 2014_3,Clinical and medical life sciences,CM/PHG/12/5335,Medium,0.00000,0.00000,5395700.00000,0.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,,01 Nov 14 00:00,Framework,31 Oct 14 00:00,16 Jul 13 10:35,16 Jul 13 10:35,Ian.Allen@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1024517,973355,465580,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1024517
9,Department of Health - Commercial Medicines Unit,   National Generic Transition Products 2016_2 ,Clinical and medical life sciences,CM/PHG/12/5379,Medium,0.00000,0.00000,0.00000,0.00000,64579130.00000,0.00000,0.00000,0.00000,England,,,,01 Jul 16 00:00,Framework,30 Jun 16 00:00,16 Jul 13 10:40,16 Jul 13 10:40,supplier.helpdesk@dh.gsi.gov.uk,60,Department of Health,0,3360000,1024519,973353,702929,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1024519
10,Department of Health - Commercial Medicines Unit,Transition Tender 2016_1 starts 01-03-16,Clinical and medical life sciences,CM/PHG/12/5378,Medium,0.00000,0.00000,0.00000,23109427.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Mar 16 00:00,Framework,29 Feb 16 00:00,16 Jul 13 10:49,16 Jul 13 10:49,supplier.helpdesk@dh.gsi.gov.uk,60,Department of Health,0,3360000,1024520,973349,702935,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1024520
11,Department of Health, Rotavirus vaccine (05-2016),Clinical and medical life sciences,CM/PHV/13/5409,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 May 16 00:00,Framework,30 Apr 16 00:00,16 Jul 13 10:53,16 Jul 13 10:53,natalie.howell@cmu.nhs.uk,60,Department of Health,0,3365160,1024523,949331,949331,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1024523
12,CMU tendering on behalf of the NHS,   National Generic Transition Products 2014_4,Clinical and medical life sciences,CM/PHG/12/5336,Medium,0.00000,0.00000,13388475.00000,0.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,,01 Jan 15 00:00,Framework,31 Dec 14 00:00,16 Jul 13 10:57,16 Jul 13 10:57,Ian.Allen@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1024525,934684,465586,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1024525
13,CMU tendering on behalf of the NHS,   Generic Pharmaceuticals (DCE and DSW Wave 9b),Clinical and medical life sciences,CM/PHG/12/5321/W,High,0.00000,0.00000,30000000.00000,30000000.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,,01 Nov 14 00:00,Framework,31 Oct 14 00:00,16 Jul 13 11:02,16 Jul 13 11:02,Tony.Brown@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1024526,934683,465573,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1024526
14,Department of Health,BCG (Tuberculosis) vaccine (04-2015),Clinical and medical life sciences,CM/PHV/12/5391,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Apr 15 00:00,Open,07 Mar 14 00:00,17 Jul 13 14:07,17 Jul 13 14:07,alan.white@cmu.nhs.uk,60,Department of Health,0,3365160,1028571,926288,770941,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1028571
15,Department of Health - Commercial Medicines Unit,   Td-IPV vaccine (10-2016),Clinical and medical life sciences,CM/PHV/12/5352,Medium,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Oct 16 00:00,Open,20 Aug 15 00:00,17 Jul 13 15:52,17 Jul 13 15:52,natalie.howell@cmu.nhs.uk,60,Department of Health,0,3365160,1028585,702934,702934,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1028585
16,Department of Health,Central strategic reserve of flu vaccine 2015 season,Clinical and medical life sciences,CM/PHV/13/5412,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Aug 15 00:00,Open,22 Oct 14 00:00,19 Jul 13 11:29,19 Jul 13 11:29,natalie.howell@cmu.nhs.uk,60,Department of Health,0,3365166,1028738,868360,868360,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1028738
17,Department of Health,Normal human Immunoglobulins,Clinical and medical life sciences,CM/PHS/13/5404,High,0.00000,0.00000,0.00000,128000000.00000,128000000.00000,0.00000,0.00000,256000000.00000,England,,,,01 Jun 15 00:00,Framework,31 May 15 00:00,19 Jul 13 11:44,19 Jul 13 11:44,alison.greenwood@cmu.nhs.uk,60,Department of Health,0,33651520|33141570|33141520|3314151,1028740,868359,868359,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1028740
18,Department of Health,Nitric Oxide Therapy,Clinical and medical life sciences,CM/PHS/13/5403,High,0.00000,0.00000,0.00000,4450684.00000,4450684.00000,0.00000,0.00000,8901368.00000,England,,,,01 Apr 15 00:00,Framework,31 Mar 15 00:00,19 Jul 13 11:56,19 Jul 13 11:56,alison.greenwood @cmu.nhs.uk,60,Department of Health,0,2411150,1028743,868357,868357,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1028743
19,Department of Health,Tuberculin Purifed protein Derivative (PPD) (04-2015),Clinical and medical life sciences,CM/PHV/12/5396,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Apr 15 00:00,Open,28 Feb 14 00:00,19 Jul 13 12:01,19 Jul 13 12:01,alan.white@cmu.nhs.uk,60,Department of Health,0,33694000|3365160,1028744,771422,771422,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1028744
20,Department of Health,Rabies Vaccine (08-2015),Clinical and medical life sciences,CM/PHV/12/5394,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Jul 15 00:00,Open,04 Jul 14 00:00,22 Jul 13 09:34,22 Jul 13 09:34,alan.white@cmu.nhs.uk,60,Department of Health,0,3365160,1030050,771419,771419,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1030050
21,Department of Health,BCG (Tuberculosis) vaccine (04-2016),Clinical and medical life sciences,CM/PHV/12/5392,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Apr 16 00:00,Open,31 Mar 15 00:00,22 Jul 13 09:39,22 Jul 13 09:39,alan.white@cmu.nhs.uk,60,Department of Health,0,3365160,1030052,771370,771355,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1030052
22,Department of Health,Vaccines Td-IPV Framework (07-2015),Clinical and medical life sciences,CM/PHV/12/5384,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Jul 15 00:00,Framework,30 Jun 15 00:00,22 Jul 13 09:49,22 Jul 13 09:49,alan.white@cmu.nhs.uk,60,Department of Health,0,3365160,1030055,771424,771424,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1030055
23,CMU tendering on behalf of the DH,  Pnemoccocal Conjugate Vaccine (01-2017),Clinical and medical life sciences,CM/PHV/12/5354,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,,01 Jan 17 00:00,Open,30 Nov 15 00:00,22 Jul 13 10:00,22 Jul 13 10:00,Natalie.Howell@cmu.nhs.uk,60,Department of Health,0,3365160,1030060,822955,465600,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1030060
24,Department of Health,Immunoglobulins (05-2015),Clinical and medical life sciences,CM/PHV/12/5393,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 May 15 00:00,Open,21 Apr 14 00:00,22 Jul 13 10:09,22 Jul 13 10:09,alan.white@cmu.nhs.uk,60,Department of Health,0,3365152,1030843,771369,771366,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1030843
25,Department of Health,Meningitis C for infants (04-2015),Clinical and medical life sciences,CM/PHV/12/5383,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Apr 15 00:00,Open,14 Mar 14 00:00,22 Jul 13 10:17,22 Jul 13 10:17,alan.white@cmu.nhs.uk,60,Department of Health,0,3365160,1031914,771417,771417,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1031914
26,Department of Health,Meningitis C vaccine for adolescents (04-2015),Clinical and medical life sciences,CM/PHV/12/5382,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Apr 15 00:00,Open,14 Mar 14 00:00,22 Jul 13 10:21,22 Jul 13 10:21,alan.white@cmu.nhs.uk,60,Department of Health,0,3365160,1032357,1031366,771415,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032357
27,Department of Health,Homecare Delivery Service - Blood clotting Factors (2014),Clinical and medical life sciences,CM/MSR/10/5222,Medium,0.00000,0.00000,1044345.00000,1044345.00000,0.00000,0.00000,0.00000,2088690.00000,England,,,,01 Jul 14 00:00,Framework,30 Jun 14 00:00,22 Jul 13 10:36,22 Jul 13 10:36,liz.payne@cmu.nhs.uk,60,Department of Health,0,85149000|8514121,1032521,768175,768175,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032521
28,Department of Health,National Generic Transition Products 2015_1,Clinical and medical life sciences,CM/PHG/12/5337,High,0.00000,0.00000,0.00000,4357501.00000,0.00000,0.00000,0.00000,4357501.00000,England,,,,01 Jun 15 00:00,Framework,31 May 15 00:00,22 Jul 13 10:54,22 Jul 13 10:54,pharma@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1032525,769972,769972,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032525
29,Department of Health,Home Delivery Service - Pulmonary hypertension - National (11-2014),Clinical and medical life sciences,CM/MSR/12/5380,Medium,0.00000,0.00000,2360000.00000,2360000.00000,0.00000,0.00000,0.00000,4720000.00000,England,,,,01 Dec 14 00:00,Framework,30 Nov 14 00:00,22 Jul 13 11:04,22 Jul 13 11:04,liz.payne@cmu.nhs.uk,60,Department of Health,0,85312200|85149000|85141210|8512123,1032527,768163,768163,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032527
30,Department of Health,Home delivery service - Lysosomal storage disorders - National (11-2014),Clinical and medical life sciences,CM/MSR/12/5381,Medium,0.00000,0.00000,500000.00000,500000.00000,0.00000,0.00000,0.00000,1000000.00000,England,,,,01 Oct 14 00:00,Framework,30 Sep 14 00:00,22 Jul 13 11:08,22 Jul 13 11:08,liz.payne@cmu.nhs.uk,60,Department of Health,0,85312200|85149000|85141210|7962400,1032528,768152,768152,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032528
31,Department of Health,Seasonal flu for secondary care 2015 16,Clinical and medical life sciences,CM/PHV/12/5395,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Nov 14 00:00,Framework,31 Oct 14 00:00,22 Jul 13 11:11,22 Jul 13 11:11,alan.white@cmu.nhs.uk,60,Department of Health,0,3365166,1032529,771421,771421,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032529
32,Department of Health - Commercial Medicines Unit,   Treatments for Lysosomal Storage Disorders 2014-2016,Clinical and medical life sciences,CM/PHR/11/5302,High,0.00000,0.00000,116000000.00000,116000000.00000,0.00000,0.00000,0.00000,232000000.00000,United Kingdom,UK,,,01 May 14 00:00,Framework,30 Apr 14 00:00,22 Jul 13 11:58,22 Jul 13 11:58,Roger.Purcell@cmu.nhs.uk,60,Department of Health,0,33600000|2496500,1032536,465565,465565,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032536
33,Department of Health - Commercial Medicines Unit,   MMR vaccine (04-2015),Clinical and medical life sciences,CM/PHV/12/5350,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,,01 Apr 15 00:00,Open,28 Feb 14 00:00,22 Jul 13 13:58,22 Jul 13 13:58,Natalie.Howell@cmu.nhs.uk,60,Department of Health,0,3365160,1032542,465570,465570,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032542
34,Department of Health - Commercial Medicines Unit,   HPV Vaccine (07-2015),Clinical and medical life sciences,CM/PHV/12/5351,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,,01 Jul 15 00:00,Open,26 May 14 00:00,22 Jul 13 14:05,22 Jul 13 14:05,Natalie.Howell@cmu.nhs.uk,60,Department of Health,0,3365160,1032546,465582,465582,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032546
35,Department of Health - Commercial Medicines Unit,   Hib-Men C vaccine (01-2016),Clinical and medical life sciences,CM/PHV/12/5353,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,,01 Jan 17 00:00,Open,01 Dec 15 00:00,22 Jul 13 14:09,22 Jul 13 14:09,Natalie.Howell@cmu.nhs.uk,60,Department of Health,0,3365160,1032547,465594,465594,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032547
36,Department of Health - Commercial Medicines Unit,   Generic Pharmaceuticals (DLN and DNW Wave 9c),Clinical and medical life sciences,CM/PHG/12/5322/W,High,0.00000,0.00000,0.00000,50000000.00000,50000000.00000,0.00000,0.00000,100000000.00000,United Kingdom,UK,,,01 Jul 15 00:00,Framework,30 Jun 15 00:00,22 Jul 13 14:15,22 Jul 13 14:15,Tony.Brown@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1032548,465603,465603,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032548
37,Department of Health - Commercial Medicines Unit,   National Generic Transition Products 2015_2,Clinical and medical life sciences,CM/PHG/12/5338,Medium,0.00000,0.00000,0.00000,14017461.00000,0.00000,0.00000,0.00000,14017461.00000,United Kingdom,UK,,,01 Oct 15 00:00,Framework,30 Sep 15 00:00,22 Jul 13 14:23,22 Jul 13 14:23,Ian.Allen@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1032549,465606,465606,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1032549
